model,handler_diff_ms,handler_ci95_ms,compression_ratio,quality_passed,trials
gpt2,-0.47945590558811163,1.9545046924961709,1.197836510881985,True,5
facebook/opt-125m,-1.2304400867530305,3.3472036934172436,1.1516256799472113,True,5
facebook/opt-350m,-5.3787077592763435,1.508612003081931,1.148644623395467,True,5
EleutherAI/pythia-160m,-0.8234251419101696,4.653731212897342,1.270780835203181,True,5
EleutherAI/pythia-410m,-18.5042453322482,4.975068977010012,1.2187578562920143,False,5
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,2.3815927687489133,3.4320234174720587,1.243920608936477,True,5
Qwen/Qwen2.5-0.5B,7.473014549274618,2.958867422757347,1.4812840841234445,True,5
Qwen/Qwen2.5-1.5B,-27.752466260377936,4.225129333938451,1.6144534283304175,True,5
